IssueId,RuleId,Category,Severity,Description,ElementId,UniqueId,ViewId,ViewName,SheetNo,Field,ModelValue,CsvValue,AffectedElementCount,AffectedElementIds
71aaacb16a2b,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232126': live model position is 6130411001679.52mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278235537.63/6130236603.06mm, schedule 278235537629/6130236603064mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",4985472,4606d5f0-8ac1-4b45-9022-a5b047868bd1-004c1280,,,,,,,,
ace47103b25d,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232128': live model position is 6130406952030.54mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278236629.23/6130232495.64mm, schedule 278236629231/6130232495643mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5009461,bb85fdea-4819-4306-be67-140d201fb34d-004c7035,,,,,,,,
5c40bc7e0b4a,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232129': live model position is 6130404927206.65mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278237175.03/6130230441.93mm, schedule 278237175032/6130230441933mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5009471,bb85fdea-4819-4306-be67-140d201fb34d-004c703f,,,,,,,,
93d18a087ad5,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232130': live model position is 6130402902382.82mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278237720.83/6130228388.22mm, schedule 278237720833/6130228388223mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5009479,bb85fdea-4819-4306-be67-140d201fb34d-004c7047,,,,,,,,
3052d3ab37b4,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232131': live model position is 6130400877558.11mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278238266.63/6130226334.51mm, schedule 278238266635/6130226334512mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5009487,bb85fdea-4819-4306-be67-140d201fb34d-004c704f,,,,,,,,
3d838beeb210,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232132': live model position is 6130398852580.62mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278238810.67/6130224280.73mm, schedule 278238810671/6130224280728mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5009495,bb85fdea-4819-4306-be67-140d201fb34d-004c7057,,,,,,,,
788269b03500,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232133': live model position is 6130394757928.48mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278239916.21/6130220127.58mm, schedule 278239916211/6130220127579mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5009503,bb85fdea-4819-4306-be67-140d201fb34d-004c705f,,,,,,,,
fff24dfc1796,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232139': live model position is 6130383919543.65mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278242837.75/6130209134.57mm, schedule 278242837750/6130209134571mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010349,bb85fdea-4819-4306-be67-140d201fb34d-004c73ad,,,,,,,,
b0a71450307e,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232134': live model position is 6130392952261.44mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278240402.94/6130218296.15mm, schedule 278240402937/6130218296152mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010388,bb85fdea-4819-4306-be67-140d201fb34d-004c73d4,,,,,,,,
bf94747f2e05,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232135': live model position is 6130391146595.46mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278240889.66/6130216464.73mm, schedule 278240889663/6130216464726mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010476,bb85fdea-4819-4306-be67-140d201fb34d-004c742c,,,,,,,,
2ac462f9aeed,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232136': live model position is 6130389340928.52mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278241376.39/6130214633.3mm, schedule 278241376389/6130214633299mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010486,bb85fdea-4819-4306-be67-140d201fb34d-004c7436,,,,,,,,
a721447982bb,revitcheck.pile_model_schedule_consistency,geometry,high,"Pile 'PIL232137': live model position is 6130387535262.64mm from the schedule's 'ABUTMENT B, B1 AND B2 PILE SCHEDULE' row (live model E/N 278241863.12/6130212801.87mm, schedule 278241863115/6130212801873mm) - beyond the 10mm tolerance. Either the pile moved after the schedule was last generated, or the schedule was edited independently of the model.",5010496,bb85fdea-4819-4306-be67-140d201fb34d-004c7440,,,,,,,,
