"Asset Identifier (Label)","Managed","DIT_AssetType","AssetTypeRef","SiteID_Drawings","Manual_SiteID","AssetCapture","T2D_DisciplineCode","T2D_ClashGroup","Uniclass_EfCode","Uniclass_EfTitle","Uniclass_SsCode","Uniclass_SsTitle","Uniclass_PrCode","Uniclass_PrTitle","UniclassCodeKey","LocationHeirarchyKey","DIT_AssetClass","DIT_AssetComponent","Ausroads_Asset_Discipline","DIT_AssetCategory","ShapeField","Created By","MPDId","Compliance Asset Id","ID","Created","Modified","Modified By"
"(MOC) Communications Conduits UC","Conditional","MCD","MCD","No","No","Model","UC","201","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_45","Low-voltage distribution systems","Pr_65_70_11_71","Rigid conduit","EF_70_30_45Ss_70_30_45_45Pr_65_70_11_71",,"01.05 M&E","01.05.01.03.04 Cables (LV)",,"Point Asset",,"Muhammad Abid-T2D",,,"3747","7/07/2026 12:01 PM","7/07/2026 12:07 PM","Muhammad Abid-T2D"
"(MOC) Electrical LV Conduits UE","Conditional","ECM","ECM","No","No","Model","UE","202","EF_70_30","Electricity distribution","Ss_70_30","Electricity distribution systems","Pr_65_70_11_71","Rigid conduit","EF_70_30Ss_70_30Pr_65_70_11_71","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset",,"Muhammad Abid-T2D",,,"3744","7/07/2026 11:29 AM","7/07/2026 12:00 PM","Muhammad Abid-T2D"
"(MOC) Fire Water Pipes UW","Conditional","MFW","MFW","Yes","No","Model","UW","205","EF_55_30_96","Water firefighting supply","Ss_55_70_95_50","Treated water pressure pipeline systems","Pr_65_52_63","Pipes and fittings","EF_55_30_96Ss_55_70_95_50Pr_65_52_63","2; 3","01.05 M&E","01.05.04.06.02 Rising Main Pipe",,"Point Asset",,"Muhammad Abid-T2D",,,"3749","7/07/2026 12:01 PM","7/07/2026 12:10 PM","Muhammad Abid-T2D"
"(MOC) Pipes Sewer US","Conditional","MSW","MSW","No","No","Model","US","204","EF_50_30","Above-ground drainage collection","Ss_50_30_04","Above-ground wastewater drainage systems","Pr_65_52_63_89","Unplasticized polyvinyl chloride (PVC-U) pipes","EF_50_30Ss_50_30_04Pr_65_52_63_89","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset",,"Muhammad Abid-T2D",,,"3748","7/07/2026 12:01 PM","7/07/2026 12:10 PM","Muhammad Abid-T2D"
"(MOC) Potable Water Pipes UW","Conditional","MWS","MWS","No","No","Model","UW","205","EF_55_70","Water supply","Ss_55_70_95","Water distribution network systems","Pr_65_52_63_17","Copper pipes","EF_55_70Ss_55_70_95Pr_65_52_63_17","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","N/A","N/A",,"Point Asset",,"Muhammad Abid-T2D",,,"3746","7/07/2026 11:32 AM","7/07/2026 11:58 AM","Muhammad Abid-T2D"
"(MOC) Surface Drainage Stormwater pipe","Conditional","DRP","DRP","No","No","Model","SD","262","EF_50_70","Drainage treatment and disposal","Ss_50_30_02","Rainwater drainage systems","Pr_65_52_63","Pipes and fittings","EF_50_70Ss_50_30_02Pr_65_52_63",,"01.05 M&E","01.05.04.01.02 Stormwater pipe",,"Point Asset",,"Muhammad Abid-T2D",,,"3742","7/07/2026 11:21 AM","7/07/2026 12:00 PM","Muhammad Abid-T2D"
"(MS) Closure Boom Gate","Yes","BB","BB","Yes","No","Model","MS","145","EF_75_30_35","Road signals and controls","Ss_75_30_35","Road signal and control systems","Pr_30_59_59_72","Rising arm vehicular barriers","EF_75_30_35Ss_75_30_35Pr_30_59_59_72","2; 3","01.05 M&E","01.05.05.05.18 Tunnel closure system (Boom Gate System)",,"Point Asset","Point","Bird, Cheyne",,,"3199","7/10/2025 12:13 PM","20/05/2026 5:37 PM","Gunagi, Pooja"
"(MS) Pile Cap","No","N/A",,"N/A","No","N/A","MS","142","EF_20_05","Substructure","Ss_20_05_15","Concrete foundation systems","Pr_20_85_62_19","Concrete pile caps","EF_20_05Ss_20_05_15Pr_20_85_62_19","2; 1; 3","N/A","N/A",,,,"Bird, Cheyne",,,"3197","7/10/2025 12:11 PM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"(MS) Reinforced Concrete Wall","No","N/A",,"N/A","No","N/A","MS","142","EF_25_10","Walls","Ss_25_10_32_70","Reinforced concrete wall structure systems","Pr_20_31_16_37","High strength concrete","EF_25_10Ss_25_10_32_70Pr_20_31_16_37","2; 2CA; 3","N/A","N/A",,,,"Long, Mike",,,"3297","6/01/2026 4:03 PM","22/05/2026 11:56 AM","Long, Mike"
"(S) - Circuit Breaker - Mech Services Switchboard (UPS)","Yes","MUI","MUI","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3487","7/04/2026 5:53 PM","20/05/2026 4:10 PM","Gunagi, Pooja"
"(S) - MSSB Generator Power External Isolator","Yes","MGT","MGT","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3485","7/04/2026 5:51 PM","20/05/2026 4:10 PM","Gunagi, Pooja"
"(S) - MSSB UPS Main Incoming Switch Isolator","Yes","MUI","LSI","No","Yes","Register","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27","3FC; 1FC; 2FC; 3SP; 3SF; 3SG; 2P","01.05 M&E","01.05.01.03.05 Circuit Breaker (LV)",,"Point Asset","Point","Basile, Rino",,,"3486","7/04/2026 5:52 PM","20/05/2026 4:10 PM","Gunagi, Pooja"
