"LocationHeirarchyKey","LocationID","LocationParentID","LocationReferenceCode","LocationReferenceDescription","ParentLocationReference","DIT_LocationHierarchyCode","LocationHierarchyDescription","DIT_ProjectRdCode","ProjectRdDescription","DIT_LocationCode","LocationCodeDescription","DIT_SubLocationCode","SubLocationCodeDescription","SiteIDLocationReference","Uniclass_CoCode","Uniclass_CoTitle","Uniclass_EnCode","Uniclass_EnTitle","Uniclass_SLCode","Uniclass_SLTitle","Modified","Modified By","ID"
"1","QQ46K9",,"62035","South Road ",,"62035","South Road ","62035","South Road ",,,,,"3980","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","1"
"1","HR19G3",,"62036","South Road ",,"62036","South Road ","62036","South Road ",,,,,"3980","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","2"
"1","ES77F7",,"62037","South Road,  SouthBound On-ramp from Manton Street",,"62037","South Road,  SouthBound On-ramp from Manton Street","62037","South Road,  SouthBound On-ramp from Manton Street",,,,,"2490","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","3"
"1","GU79C8",,"62038","North South Motorway, NorthBound Off-ramp to Grange Road",,"62038","North South Motorway, NorthBound Off-ramp to Grange Road","62038","North South Motorway, NorthBound Off-ramp to Grange Road",,,,,"2480","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","4"
"1","MM06K2",,"62043","South Road",,"62043","South Road","62043","South Road",,,,,"3980","Co_80_35_75","Road networks","En_80_35_74","Roads","SL_80_35_74","Road sections","26/06/2026 2:10 PM","Muhammad Abid-T2D","5"
"1","CC46K7",,"05648","Port Road",,"05648","Port Road","05648","Port Road",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","6"
"1","AN35C2",,"05851","Grange Road & Manton Street",,"05851","Grange Road & Manton Street","05851","Grange Road & Manton Street",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_56","Motorways",,,"23/05/2025 10:34 AM","Tay, Bryan","7"
"1","EM88F2",,"06203","North South Motorway",,"06203","North South Motorway","06203","North South Motorway",,,,,"3990","Co_80_35_75","Road networks","En_80_35_56","Motorways",,,"4/06/2025 11:17 AM","Tay, Bryan","8"
"1","BU60X6",,"06780","Southern Expressway",,"06780","Southern Expressway","06780","Southern Expressway",,,,,"3990","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"4/06/2025 11:17 AM","Tay, Bryan","9"
"1","NJ21J2",,"NCRN001","Ashwin Parade",,"NCRN001","Ashwin Parade","NCRN001","Ashwin Parade",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","10"
"1","UR53O5",,"65802","West Thebarton Road",,"65802","West Thebarton Road","65802","West Thebarton Road",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"13/08/2025 10:34 AM","John Marsden-T2D","11"
"1","UP56P0",,"NCRN003","Tonsley Boulevard",,"NCRN003","Tonsley Boulevard","NCRN003","Tonsley Boulevard",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","12"
"1","PW65X7",,"NCRN004","Barwell Avenue",,"NCRN004","Barwell Avenue","NCRN004","Barwell Avenue",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","13"
"1","YI62Q5",,"NCRN005","Everard Avenue",,"NCRN005","Everard Avenue","NCRN005","Everard Avenue",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","14"
"1","FM59I7",,"06200","Richmond Road",,"06200","Richmond Road","06200","Richmond Road",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","15"
"1","PQ73F0",,"62049","North South Motorway, NorthBound On-ramp from Richmond Road",,"62049","North South Motorway, NorthBound On-ramp from Richmond Road","62049","North South Motorway, NorthBound On-ramp from Richmond Road",,,,,"2260","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","16"
"1","RG06I9",,"06212","Anzac Highway",,"06212","Anzac Highway","06212","Anzac Highway",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","17"
"1","IL09U1",,"62047","North South Motorway, SouthBound On-ramp from James Congdon Drive",,"62047","North South Motorway, SouthBound On-ramp from James Congdon Drive","62047","North South Motorway, SouthBound On-ramp from James Congdon Drive",,,,,"2270","Co_80_35_75","Road networks","En_80_35_74","Roads",,,"23/05/2025 10:34 AM","Tay, Bryan","18"
"1","UI22V5",,"06206","James Congdon Drive",,"06206","James Congdon Drive","06206","James Congdon Drive",,,,,"No Linear Assets Req","Co_80_35_75","Road networks","En_80_35_01","Access roads",,,"23/05/2025 10:34 AM","Tay, Bryan","19"
